Date,Consommation,Date,Jour,Mois,Année,CO2_moy,CO2
2014-01-01,1366110.0,2014-01-01,1,1,2014,29.229166666666668,39.0
2014-01-02,1453997.0,2014-01-02,2,1,2014,27.25,39.0
2014-01-03,1477531.0,2014-01-03,3,1,2014,25.395833333333332,37.0
2014-01-04,1404865.0,2014-01-04,4,1,2014,26.625,37.0
2014-01-05,1397003.0,2014-01-05,5,1,2014,27.208333333333332,38.0
2014-01-06,1544547.0,2014-01-06,6,1,2014,32.5625,50.0
2014-01-07,1533467.0,2014-01-07,7,1,2014,47.416666666666664,72.0
2014-01-08,1513608.0,2014-01-08,8,1,2014,48.166666666666664,72.0
2014-01-09,1540116.0,2014-01-09,9,1,2014,48.291666666666664,74.0
2014-01-10,1575932.0,2014-01-10,10,1,2014,55.854166666666664,88.0
2014-01-11,1438512.0,2014-01-11,11,1,2014,43.6875,62.0
2014-01-12,1415405.0,2014-01-12,12,1,2014,27.708333333333332,39.0
2014-01-13,1592815.0,2014-01-13,13,1,2014,50.166666666666664,79.0
2014-01-14,1662103.0,2014-01-14,14,1,2014,67.3125,111.0
2014-01-15,1705208.0,2014-01-15,15,1,2014,62.958333333333336,107.0
2014-01-16,1654108.0,2014-01-16,16,1,2014,52.333333333333336,86.0
2014-01-17,1617737.0,2014-01-17,17,1,2014,43.208333333333336,69.0
2014-01-18,1484755.0,2014-01-18,18,1,2014,35.895833333333336,53.0
2014-01-19,1414738.0,2014-01-19,19,1,2014,44.479166666666664,62.0
2014-01-20,1660827.0,2014-01-20,20,1,2014,63.791666666666664,105.0
2014-01-21,1735139.0,2014-01-21,21,1,2014,54.0625,93.0
2014-01-22,1751907.0,2014-01-22,22,1,2014,48.625,85.0
2014-01-23,1729143.0,2014-01-23,23,1,2014,42.708333333333336,73.0
2014-01-24,1699801.0,2014-01-24,24,1,2014,43.166666666666664,73.0
2014-01-25,1544577.0,2014-01-25,25,1,2014,26.125,40.0
2014-01-26,1452949.0,2014-01-26,26,1,2014,25.729166666666668,37.0
2014-01-27,1679787.0,2014-01-27,27,1,2014,35.229166666666664,59.0
2014-01-28,1757115.0,2014-01-28,28,1,2014,46.333333333333336,81.0
2014-01-29,1761896.0,2014-01-29,29,1,2014,49.5625,87.0
2014-01-30,1734179.0,2014-01-30,30,1,2014,50.833333333333336,88.0
2014-01-31,1747011.0,2014-01-31,31,1,2014,44.979166666666664,78.0
2014-02-01,1576001.0,2014-02-01,1,2,2014,26.3125,41.0
2014-02-02,1507743.0,2014-02-02,2,2,2014,26.895833333333332,40.0
2014-02-03,1686066.0,2014-02-03,3,2,2014,43.395833333333336,73.0
2014-02-04,1688714.0,2014-02-04,4,2,2014,46.104166666666664,77.0
2014-02-05,1717158.0,2014-02-05,5,2,2014,48.8125,83.0
2014-02-06,1692799.0,2014-02-06,6,2,2014,46.020833333333336,77.0
2014-02-07,1611754.0,2014-02-07,7,2,2014,42.0,67.0
2014-02-08,1519921.0,2014-02-08,8,2,2014,26.5625,40.0
2014-02-09,1472127.0,2014-02-09,9,2,2014,28.0625,41.0
2014-02-10,1629992.0,2014-02-10,10,2,2014,46.729166666666664,76.0
2014-02-11,1694961.0,2014-02-11,11,2,2014,45.666666666666664,77.0
2014-02-12,1700359.0,2014-02-12,12,2,2014,43.6875,74.0
2014-02-13,1688285.0,2014-02-13,13,2,2014,41.75,70.0
2014-02-14,1661136.0,2014-02-14,14,2,2014,46.645833333333336,77.0
2014-02-15,1443516.0,2014-02-15,15,2,2014,34.520833333333336,49.0
2014-02-16,1390099.0,2014-02-16,16,2,2014,33.729166666666664,46.0
2014-02-17,1562923.0,2014-02-17,17,2,2014,41.354166666666664,64.0
2014-02-18,1619814.0,2014-02-18,18,2,2014,50.041666666666664,81.0
2014-02-19,1591281.0,2014-02-19,19,2,2014,49.541666666666664,78.0
2014-02-20,1562406.0,2014-02-20,20,2,2014,37.4375,58.0
2014-02-21,1565860.0,2014-02-21,21,2,2014,33.041666666666664,51.0
2014-02-22,1456826.0,2014-02-22,22,2,2014,33.5,48.0
2014-02-23,1337068.0,2014-02-23,23,2,2014,33.625,44.0
2014-02-24,1493503.0,2014-02-24,24,2,2014,34.270833333333336,51.0
2014-02-25,1551784.0,2014-02-25,25,2,2014,39.458333333333336,61.0
2014-02-26,1572298.0,2014-02-26,26,2,2014,55.666666666666664,87.0
2014-02-27,1640848.0,2014-02-27,27,2,2014,51.625,84.0
2014-02-28,1642837.0,2014-02-28,28,2,2014,58.729166666666664,96.0
2014-03-01,1499298.0,2014-03-01,1,3,2014,55.270833333333336,82.0
2014-03-02,1423165.0,2014-03-02,2,3,2014,44.75,63.0
2014-03-03,1602903.0,2014-03-03,3,3,2014,57.979166666666664,92.0
2014-03-04,1611989.0,2014-03-04,4,3,2014,67.52083333333333,108.0
2014-03-05,1555521.0,2014-03-05,5,3,2014,67.39583333333333,104.0
2014-03-06,1544044.0,2014-03-06,6,3,2014,60.333333333333336,93.0
2014-03-07,1504819.0,2014-03-07,7,3,2014,50.979166666666664,76.0
2014-03-08,1307948.0,2014-03-08,8,3,2014,36.541666666666664,47.0
2014-03-09,1188483.0,2014-03-09,9,3,2014,36.875,43.0
2014-03-10,1362537.0,2014-03-10,10,3,2014,53.75,73.0
2014-03-11,1401060.0,2014-03-11,11,3,2014,48.916666666666664,68.0
2014-03-12,1400695.0,2014-03-12,12,3,2014,52.4375,73.0
2014-03-13,1395209.0,2014-03-13,13,3,2014,51.4375,71.0
2014-03-14,1365652.0,2014-03-14,14,3,2014,41.979166666666664,57.0
2014-03-15,1250292.0,2014-03-15,15,3,2014,30.895833333333332,38.0
2014-03-16,1157816.0,2014-03-16,16,3,2014,32.229166666666664,37.0
2014-03-17,1330848.0,2014-03-17,17,3,2014,48.645833333333336,64.0
2014-03-18,1388311.0,2014-03-18,18,3,2014,48.4375,67.0
2014-03-19,1364563.0,2014-03-19,19,3,2014,42.916666666666664,58.0
2014-03-20,1342195.0,2014-03-20,20,3,2014,32.145833333333336,43.0
2014-03-21,1325302.0,2014-03-21,21,3,2014,30.208333333333332,40.0
2014-03-22,1265725.0,2014-03-22,22,3,2014,29.75,37.0
2014-03-23,1273951.0,2014-03-23,23,3,2014,32.020833333333336,40.0
2014-03-24,1464778.0,2014-03-24,24,3,2014,59.083333333333336,86.0
2014-03-25,1500748.0,2014-03-25,25,3,2014,71.77083333333333,107.0
2014-03-26,1493672.0,2014-03-26,26,3,2014,74.39583333333333,111.0
2014-03-27,1497807.0,2014-03-27,27,3,2014,81.25,121.0
2014-03-28,1449388.0,2014-03-28,28,3,2014,68.33333333333333,99.0
2014-03-29,1241009.0,2014-03-29,29,3,2014,34.3125,42.0
2014-03-30,1107239.0,2014-03-30,30,3,2014,33.170212765957444,36.0
2014-03-31,1280060.0,2014-03-31,31,3,2014,55.854166666666664,71.0
2014-04-01,1278647.0,2014-04-01,1,4,2014,53.875,68.0
2014-04-02,1265754.0,2014-04-02,2,4,2014,57.583333333333336,72.0
2014-04-03,1288278.0,2014-04-03,3,4,2014,64.22916666666667,82.0
2014-04-04,1287996.0,2014-04-04,4,4,2014,59.229166666666664,76.0
2014-04-05,1146427.0,2014-04-05,5,4,2014,33.354166666666664,38.0
2014-04-06,1045915.0,2014-04-06,6,4,2014,26.875,28.0
2014-04-07,1203239.0,2014-04-07,7,4,2014,40.395833333333336,48.0
2014-04-08,1254635.0,2014-04-08,8,4,2014,41.395833333333336,51.0
2014-04-09,1280476.0,2014-04-09,9,4,2014,46.395833333333336,59.0
2014-04-10,1261084.0,2014-04-10,10,4,2014,46.708333333333336,58.0
2014-04-11,1229607.0,2014-04-11,11,4,2014,42.0625,51.0
2014-04-12,1095670.0,2014-04-12,12,4,2014,20.833333333333332,22.0
2014-04-13,1029993.0,2014-04-13,13,4,2014,21.979166666666668,22.0
2014-04-14,1214887.0,2014-04-14,14,4,2014,29.416666666666668,35.0
2014-04-15,1259898.0,2014-04-15,15,4,2014,42.604166666666664,53.0
2014-04-16,1274499.0,2014-04-16,16,4,2014,48.604166666666664,61.0
2014-04-17,1261899.0,2014-04-17,17,4,2014,44.479166666666664,56.0
2014-04-18,1235861.0,2014-04-18,18,4,2014,19.208333333333332,23.0
2014-04-19,1148545.0,2014-04-19,19,4,2014,25.3125,29.0
2014-04-20,1078574.0,2014-04-20,20,4,2014,23.895833333333332,25.0
2014-04-21,1079185.0,2014-04-21,21,4,2014,21.5625,23.0
2014-04-22,1239143.0,2014-04-22,22,4,2014,43.4375,53.0
2014-04-23,1243834.0,2014-04-23,23,4,2014,50.5625,62.0
2014-04-24,1230447.0,2014-04-24,24,4,2014,53.854166666666664,66.0
2014-04-25,1224681.0,2014-04-25,25,4,2014,35.520833333333336,43.0
